year_,fire_name,alarm_date,cause,gis_acres,shape_area,cause_desc
2007,LOS FLORES,2007-03-31,1,4099.9658203125,16591972.5261521,Lightning
2007,MERIDIAN,2007-07-05,1,445.72775268554705,1803796.26338719,Lightning
2007,MARTIN RANCH,2007-10-23,11,602.232360839844,2437147.78500345,Power Line
2007,GLEN HELEN  2,2007-10-21,2,163.579544067383,661982.91783182,Equipment Use
2007,DEVORE 2,2007-10-21,14,86.78253173828121,351196.433319839,Unknown/Unidentified
2007,QUIEN,2007-08-30,1,422.329956054688,1709108.71610038,Lightning
2007,BRYSON,2007-05-12,2,24.734619140625,100097.449653021,Equipment Use
2007,SOLEDAD,2007-03-29,5,37.538047790527294,151911.084690486,Debris
2007,COLORADO,2007-10-08,15,24.8428974151611,100535.635407272,Structure
2007,AVENIDA,2007-06-26,2,33.9823226928711,137521.577706768,Equipment Use
2007,PINEY,2007-07-01,7,49.415012359619105,199975.46482206302,Arson
2007,ROSA,2007-08-30,1,19.033483505249,77025.7726213499,Lightning
2007,OAK,2007-08-24,2,18.5216693878174,74954.5349331974,Equipment Use
2007,POT HOLE,2007-07-11,1,13.790443420410199,55807.9447176181,Lightning
2007,BAILEY,,14,53.4463119506836,216289.547614932,Unknown/Unidentified
2007,WRIGHT,2007-10-06,9,31.3112144470215,126711.989021894,Miscellaneous
2007,FREMONT,,9,31.7974872589111,128679.867198009,Miscellaneous
2007,BORDER 26,2007-07-07,4,10.169313430786099,41153.7495738237,Campfire
2007,BULL,2007-02-17,1,168.815521240234,683172.17298305,Lightning
2007,CHICK,2007-08-29,14,8.780858039855959,35534.8730870987,Unknown/Unidentified
2007,SPRING,2007-05-19,14,49.257476806640604,199337.932208087,Unknown/Unidentified
2007,LITTLE,2007-03-22,9,66.9023056030273,270744.03117857897,Miscellaneous
2007,CONWAY,2007-07-15,1,89.1019439697266,360582.78157202795,Lightning
2007,INKOPAH,2007-06-05,4,698.9719848632809,2828639.26618803,Campfire
